"week","state","SumOfnew_case","SumOfSeries_Complete_Yes"
-2,"AK",3102.00,2.00
-2,"AL",29192.00,121.00
-2,"AR",15862.00,6.00
-2,"AZ",45663.00,2.00
-2,"CA",279629.00,36.00
-2,"CO",20964.00,18.00
-2,"CT",16021.00,22.00
-2,"DC",1699.00,0.00
-2,"DE",5387.00,0.00
-2,"FL",75068.00,96.00
-2,"GA",44260.00,1.00
-2,"HI",830.00,0.00
-2,"IA",10996.00,5.00
-2,"ID",8437.00,0.00
-2,"IL",52679.00,17.00
-2,"IN",38395.00,5.00
-2,"KS",15132.00,1.00
-2,"KY",19608.00,1.00
-2,"LA",18243.00,0.00
-2,"MA",33545.00,2.00
-2,"MD",16161.00,4.00
-2,"ME",3042.00,2.00
-2,"MI",21353.00,2.00
-2,"MN",19237.00,0.00
-2,"MO",24498.00,5.00
-2,"MS",14686.00,2.00
-2,"MT",3975.00,6.00
-2,"NC",44613.00,1.00
-2,"ND",2168.00,3.00
-2,"NE",7754.00,18.00
-2,"NH",5365.00,0.00
-2,"NJ",35276.00,0.00
-2,"NM",10572.00,3.00
-2,"NV",17907.00,0.00
-2,"NY",47564.00,29.00
-2,"OH",60968.00,1.00
-2,"OK",23637.00,22.00
-2,"OR",8975.00,0.00
-2,"PA",67434.00,8.00
-2,"RI",6245.00,0.00
-2,"SC",22659.00,0.00
-2,"SD",3929.00,0.00
-2,"TN",48622.00,2.00
-2,"TX",109514.00,0.00
-2,"UT",17149.00,0.00
-2,"VA",24939.00,0.00
-2,"VT",664.00,1.00
-2,"WA",16713.00,0.00
-2,"WI",24688.00,16.00
-2,"WV",9064.00,0.00
-2,"WY",2581.00,3.00
-1,"AK",1735.00,142.00
-1,"AL",24714.00,927.00
-1,"AR",13855.00,338.00
-1,"AZ",44831.00,283.00
-1,"CA",260848.00,2081.00
-1,"CO",17021.00,272.00
-1,"CT",9961.00,122.00
-1,"DC",1368.00,523.00
-1,"DE",4579.00,28.00
-1,"FL",69709.00,1186.00
-1,"GA",46488.00,275.00
-1,"HI",846.00,0.00
-1,"IA",8170.00,41.00
-1,"ID",6718.00,9.00
-1,"IL",39775.00,1048.00
-1,"IN",34234.00,468.00
-1,"KS",9263.00,41.00
-1,"KY",14829.00,140.00
-1,"LA",14065.00,747.00
-1,"MA",30332.00,101.00
-1,"MD",16390.00,208.00
-1,"ME",2932.00,43.00
-1,"MI",16486.00,85.00
-1,"MN",11910.00,55.00
-1,"MO",19819.00,163.00
-1,"MS",12311.00,58.00
-1,"MT",2814.00,133.00
-1,"NC",35583.00,25.00
-1,"ND",1426.00,21.00
-1,"NE",5944.00,184.00
-1,"NH",4324.00,0.00
-1,"NJ",35493.00,66.00
-1,"NM",8296.00,122.00
-1,"NV",13795.00,25.00
-1,"NY",49244.00,751.00
-1,"OH",50239.00,258.00
-1,"OK",20938.00,323.00
-1,"OR",6512.00,3.00
-1,"PA",56715.00,750.00
-1,"RI",5184.00,2.00
-1,"SC",24553.00,10.00
-1,"SD",2627.00,6.00
-1,"TN",36973.00,2529.00
-1,"TX",86663.00,0.00
-1,"UT",15108.00,256.00
-1,"VA",26728.00,252.00
-1,"VT",582.00,52.00
-1,"WA",14059.00,103.00
-1,"WI",15343.00,149.00
-1,"WV",8962.00,12.00
-1,"WY",1658.00,41.00
0,"AK",2136.00,375.00
0,"AL",31615.00,1142.00
0,"AR",17473.00,623.00
0,"AZ",46130.00,958.00
0,"CA",279460.00,4881.00
0,"CO",15553.00,838.00
0,"CT",17377.00,243.00
0,"DC",1799.00,832.00
0,"DE",4579.00,76.00
0,"FL",87941.00,11664.00
0,"GA",56334.00,1630.00
0,"HI",880.00,0.00
0,"IA",8924.00,65.00
0,"ID",6412.00,355.00
0,"IL",41210.00,2830.00
0,"IN",31153.00,1403.00
0,"KS",18056.00,123.00
0,"KY",20117.00,990.00
0,"LA",18776.00,1632.00
0,"MA",34579.00,299.00
0,"MD",18121.00,651.00
0,"ME",3709.00,213.00
0,"MI",19755.00,427.00
0,"MN",11287.00,279.00
0,"MO",24842.00,346.00
0,"MS",16120.00,188.00
0,"MT",2511.00,498.00
0,"NC",55749.00,116.00
0,"ND",1576.00,34.00
0,"NE",6933.00,503.00
0,"NH",5251.00,0.00
0,"NJ",33401.00,394.00
0,"NM",8153.00,404.00
0,"NV",13218.00,90.00
0,"NY",59104.00,3414.00
0,"OH",50005.00,1524.00
0,"OK",26875.00,561.00
0,"OR",8022.00,31.00
0,"PA",52197.00,2463.00
0,"RI",7112.00,15.00
0,"SC",31728.00,80.00
0,"SD",2866.00,18.00
0,"TN",46958.00,6009.00
0,"TX",116695.00,0.00
0,"UT",17576.00,1211.00
0,"VA",30189.00,772.00
0,"VT",666.00,122.00
0,"WA",16198.00,439.00
0,"WI",17630.00,269.00
0,"WV",9150.00,37.00
0,"WY",1427.00,187.00
1,"AK",2041.00,4867.00
1,"AL",30563.00,8450.00
1,"AR",20304.00,859.00
1,"AZ",68216.00,12382.00
1,"CA",293100.00,72194.00
1,"CO",19775.00,28640.00
1,"CT",15874.00,4780.00
1,"DC",1948.00,3635.00
1,"DE",5908.00,1353.00
1,"FL",107520.00,71104.00
1,"GA",63730.00,12579.00
1,"HI",1183.00,0.00
1,"IA",12023.00,5282.00
1,"ID",7036.00,4062.00
1,"IL",48687.00,29800.00
1,"IN",35554.00,13248.00
1,"KS",14577.00,9407.00
1,"KY",27024.00,9061.00
1,"LA",26156.00,23452.00
1,"MA",42954.00,13685.00
1,"MD",21355.00,9552.00
1,"ME",3708.00,5777.00
1,"MI",19854.00,10949.00
1,"MN",16581.00,7179.00
1,"MO",27494.00,15513.00
1,"MS",16290.00,7394.00
1,"MT",4158.00,6785.00
1,"NC",66122.00,20049.00
1,"ND",1675.00,6013.00
1,"NE",7365.00,15356.00
1,"NH",5687.00,283.00
1,"NJ",39636.00,14178.00
1,"NM",9575.00,13255.00
1,"NV",17438.00,8215.00
1,"NY",69035.00,42175.00
1,"OH",56304.00,12277.00
1,"OK",25979.00,19218.00
1,"OR",8128.00,4662.00
1,"PA",56018.00,23752.00
1,"RI",8058.00,2629.00
1,"SC",40269.00,3995.00
1,"SD",3072.00,6324.00
1,"TN",46939.00,18423.00
1,"TX",161305.00,0.00
1,"UT",22069.00,4947.00
1,"VA",35091.00,20575.00
1,"VT",994.00,787.00
1,"WA",18469.00,13309.00
1,"WI",24482.00,12377.00
1,"WV",10451.00,27305.00
1,"WY",2146.00,1557.00
2,"AK",1693.00,49776.00
2,"AL",21228.00,78248.00
2,"AR",18432.00,72237.00
2,"AZ",59577.00,127476.00
2,"CA",234967.00,1083143.00
2,"CO",14536.00,291885.00
2,"CT",17428.00,47176.00
2,"DC",2080.00,20425.00
2,"DE",5252.00,22413.00
2,"FL",93251.00,452398.00
2,"GA",60811.00,122354.00
2,"HI",1004.00,0.00
2,"IA",8917.00,58377.00
2,"ID",6041.00,52018.00
2,"IL",40628.00,515009.00
2,"IN",28573.00,230636.00
2,"KS",13812.00,93494.00
2,"KY",23227.00,70114.00
2,"LA",23422.00,167141.00
2,"MA",38591.00,180359.00
2,"MD",19771.00,100373.00
2,"ME",4261.00,47441.00
2,"MI",15027.00,247042.00
2,"MN",10634.00,131891.00
2,"MO",18360.00,170779.00
2,"MS",13381.00,48751.00
2,"MT",2954.00,51899.00
2,"NC",50469.00,252149.00
2,"ND",1148.00,43849.00
2,"NE",5294.00,88462.00
2,"NH",5074.00,5187.00
2,"NJ",42907.00,184212.00
2,"NM",7939.00,119761.00
2,"NV",13781.00,76927.00
2,"NY",66631.00,364829.00
2,"OH",50530.00,91626.00
2,"OK",19432.00,165988.00
2,"OR",7936.00,75744.00
2,"PA",48467.00,337538.00
2,"RI",6109.00,37281.00
2,"SC",34311.00,82866.00
2,"SD",2377.00,61141.00
2,"TN",29456.00,185009.00
2,"TX",159009.00,0.00
2,"UT",18529.00,48234.00
2,"VA",40449.00,172577.00
2,"VT",1023.00,16931.00
2,"WA",16622.00,172926.00
2,"WI",18141.00,119835.00
2,"WV",8346.00,114459.00
2,"WY",2349.00,14772.00
3,"AK",1399.00,87663.00
3,"AL",18536.00,152769.00
3,"AR",12817.00,189566.00
3,"AZ",48477.00,322301.00
3,"CA",160676.00,2137878.00
3,"CO",11483.00,399092.00
3,"CT",14393.00,126737.00
3,"DC",1540.00,35094.00
3,"DE",4376.00,45865.00
3,"FL",78123.00,908120.00
3,"GA",52495.00,276102.00
3,"HI",762.00,0.00
3,"IA",7814.00,119959.00
3,"ID",4049.00,94311.00
3,"IL",33860.00,811595.00
3,"IN",21554.00,498122.00
3,"KS",10519.00,148361.00
3,"KY",20734.00,140083.00
3,"LA",15402.00,265904.00
3,"MA",30367.00,332484.00
3,"MD",15007.00,231437.00
3,"ME",3228.00,86847.00
3,"MI",12888.00,594741.00
3,"MN",8761.00,351872.00
3,"MO",14396.00,361789.00
3,"MS",11594.00,88858.00
3,"MT",2354.00,79865.00
3,"NC",41442.00,496794.00
3,"ND",953.00,67988.00
3,"NE",5945.00,128938.00
3,"NH",5631.00,10290.00
3,"NJ",35447.00,378605.00
3,"NM",5686.00,213987.00
3,"NV",9623.00,132816.00
3,"NY",54431.00,846097.00
3,"OH",38334.00,287109.00
3,"OK",16510.00,253655.00
3,"OR",5188.00,199641.00
3,"PA",38180.00,690699.00
3,"RI",5217.00,72162.00
3,"SC",29194.00,228525.00
3,"SD",1685.00,85711.00
3,"TN",22825.00,429110.00
3,"TX",131401.00,0.00
3,"UT",12637.00,124833.00
3,"VA",33142.00,328001.00
3,"VT",931.00,44869.00
3,"WA",12075.00,384736.00
3,"WI",13728.00,289395.00
3,"WV",6628.00,188908.00
3,"WY",1515.00,29981.00
4,"AK",973.00,137860.00
4,"AL",15848.00,281856.00
4,"AR",11392.00,292093.00
4,"AZ",38043.00,589575.00
4,"CA",111493.00,3221572.00
4,"CO",8455.00,692576.00
4,"CT",12208.00,260994.00
4,"DC",1585.00,47386.00
4,"DE",3552.00,80235.00
4,"FL",72143.00,1561769.00
4,"GA",43700.00,500774.00
4,"HI",758.00,0.00
4,"IA",6472.00,274628.00
4,"ID",3358.00,136703.00
4,"IL",25346.00,1156131.00
4,"IN",16524.00,771377.00
4,"KS",8032.00,238735.00
4,"KY",16741.00,322756.00
4,"LA",17021.00,373914.00
4,"MA",25267.00,580006.00
4,"MD",13021.00,449405.00
4,"ME",2536.00,171714.00
4,"MI",10421.00,1013799.00
4,"MN",7011.00,613168.00
4,"MO",11706.00,563249.00
4,"MS",10376.00,150569.00
4,"MT",2352.00,140617.00
4,"NC",35367.00,814916.00
4,"ND",813.00,125191.00
4,"NE",3716.00,229031.00
4,"NH",3786.00,19715.00
4,"NJ",35007.00,687624.00
4,"NM",4960.00,346177.00
4,"NV",7636.00,195466.00
4,"NY",46203.00,1607693.00
4,"OH",32940.00,769456.00
4,"OK",14339.00,407618.00
4,"OR",4816.00,371700.00
4,"PA",39282.00,1205562.00
4,"RI",4186.00,117456.00
4,"SC",24790.00,371800.00
4,"SD",1107.00,164694.00
4,"TN",18831.00,852307.00
4,"TX",120181.00,0.00
4,"UT",10541.00,226079.00
4,"VA",32332.00,647582.00
4,"VT",801.00,81467.00
4,"WA",11457.00,661220.00
4,"WI",10994.00,515098.00
4,"WV",5588.00,333199.00
4,"WY",1121.00,49245.00
5,"AK",921.00,211743.00
5,"AL",11460.00,500868.00
5,"AR",11677.00,490779.00
5,"AZ",25735.00,891120.00
5,"CA",80107.00,4713120.00
5,"CO",10834.00,1072581.00
5,"CT",9349.00,445240.00
5,"DC",1215.00,70746.00
5,"DE",2633.00,129155.00
5,"FL",57180.00,2969707.00
5,"GA",31544.00,1011349.00
5,"HI",617.00,0.00
5,"IA",5381.00,478144.00
5,"ID",2526.00,206934.00
5,"IL",20408.00,1737423.00
5,"IN",13112.00,1048385.00
5,"KS",6877.00,404344.00
5,"KY",14680.00,613010.00
5,"LA",12585.00,797678.00
5,"MA",19467.00,963006.00
5,"MD",9177.00,817883.00
5,"ME",1894.00,263655.00
5,"MI",8769.00,1671877.00
5,"MN",6398.00,932574.00
5,"MO",9785.00,794978.00
5,"MS",6593.00,256610.00
5,"MT",1955.00,228373.00
5,"NC",28668.00,1452562.00
5,"ND",525.00,202486.00
5,"NE",2851.00,395650.00
5,"NH",2699.00,32587.00
5,"NJ",25292.00,1167059.00
5,"NM",3675.00,564770.00
5,"NV",6042.00,328150.00
5,"NY",32725.00,2739521.00
5,"OH",25298.00,1560219.00
5,"OK",11509.00,802715.00
5,"OR",4325.00,679038.00
5,"PA",26365.00,1881990.00
5,"RI",3163.00,190772.00
5,"SC",18686.00,629896.00
5,"SD",1062.00,250947.00
5,"TN",15330.00,1392536.00
5,"TX",127641.00,0.00
5,"UT",8270.00,488490.00
5,"VA",24346.00,1151699.00
5,"VT",847.00,139049.00
5,"WA",8179.00,1074553.00
5,"WI",9019.00,831836.00
5,"WV",3850.00,545882.00
5,"WY",914.00,90079.00
6,"AK",931.00,333125.00
6,"AL",8388.00,809438.00
6,"AR",6498.00,784777.00
6,"AZ",16251.00,1490110.00
6,"CA",52192.00,7112192.00
6,"CO",8728.00,1686507.00
6,"CT",7965.00,660324.00
6,"DC",919.00,121747.00
6,"DE",2533.00,184043.00
6,"FL",49551.00,5887081.00
6,"GA",25406.00,1899388.00
6,"HI",404.00,0.00
6,"IA",4782.00,699841.00
6,"ID",2274.00,315479.00
6,"IL",16242.00,2383621.00
6,"IN",9754.00,1558660.00
6,"KS",4540.00,638312.00
6,"KY",10788.00,1114494.00
6,"LA",8724.00,1419974.00
6,"MA",15068.00,1437708.00
6,"MD",7333.00,1384877.00
6,"ME",1311.00,354429.00
6,"MI",9528.00,2782327.00
6,"MN",5574.00,1294587.00
6,"MO",6433.00,1202902.00
6,"MS",5143.00,581183.00
6,"MT",1580.00,322551.00
6,"NC",23035.00,2565336.00
6,"ND",442.00,293375.00
6,"NE",3606.00,554970.00
6,"NH",2444.00,46765.00
6,"NJ",25984.00,2032005.00
6,"NM",3075.00,842814.00
6,"NV",4445.00,566559.00
6,"NY",29238.00,4588359.00
6,"OH",19462.00,2501109.00
6,"OK",6938.00,1401356.00
6,"OR",3293.00,1096901.00
6,"PA",26740.00,2716002.00
6,"RI",2592.00,265177.00
6,"SC",16721.00,974993.00
6,"SD",1073.00,348158.00
6,"TN",12917.00,1885942.00
6,"TX",76344.00,0.00
6,"UT",6884.00,741350.00
6,"VA",20874.00,1902385.00
6,"VT",784.00,200618.00
6,"WA",8072.00,1634041.00
6,"WI",6635.00,1333192.00
6,"WV",3092.00,808069.00
6,"WY",468.00,151150.00
7,"AK",904.00,485645.00
7,"AL",5677.00,1240865.00
7,"AR",2668.00,1034888.00
7,"AZ",10861.00,2214549.00
7,"CA",34347.00,11313635.00
7,"CO",6829.00,2326827.00
7,"CT",5764.00,990293.00
7,"DC",757.00,188331.00
7,"DE",1790.00,262658.00
7,"FL",40946.00,8743733.00
7,"GA",20939.00,3278304.00
7,"HI",282.00,0.00
7,"IA",3509.00,904444.00
7,"ID",1667.00,525179.00
7,"IL",12301.00,3286480.00
7,"IN",7087.00,2558640.00
7,"KS",4730.00,910120.00
7,"KY",7777.00,1565882.00
7,"LA",3702.00,1905466.00
7,"MA",11869.00,2121221.00
7,"MD",5372.00,2050373.00
7,"ME",969.00,481308.00
7,"MI",7959.00,3969573.00
7,"MN",5366.00,1902846.00
7,"MO",4778.00,1865317.00
7,"MS",3698.00,924714.00
7,"MT",1344.00,432266.00
7,"NC",17875.00,4131739.00
7,"ND",680.00,378103.00
7,"NE",1724.00,728042.00
7,"NH",2656.00,64554.00
7,"NJ",20555.00,3115176.00
7,"NM",2186.00,1202884.00
7,"NV",2835.00,878098.00
7,"NY",23907.00,6995558.00
7,"OH",14765.00,3711284.00
7,"OK",3582.00,1786442.00
7,"OR",2677.00,1527468.00
7,"PA",19247.00,3756896.00
7,"RI",2257.00,355405.00
7,"SC",11898.00,1486746.00
7,"SD",960.00,458296.00
7,"TN",7388.00,2291414.00
7,"TX",30490.00,0.00
7,"UT",5450.00,878795.00
7,"VA",14116.00,2917282.00
7,"VT",690.00,259949.00
7,"WA",5794.00,2363982.00
7,"WI",5138.00,1984854.00
7,"WV",2082.00,1054544.00
7,"WY",597.00,233947.00
8,"AK",820.00,649111.00
8,"AL",5267.00,1820968.00
8,"AR",3965.00,1274126.00
8,"AZ",9664.00,3036791.00
8,"CA",25948.00,15801075.00
8,"CO",7650.00,2919035.00
8,"CT",6845.00,1311873.00
8,"DC",925.00,239229.00
8,"DE",2078.00,376947.00
8,"FL",38996.00,10490201.00
8,"GA",20440.00,4654092.00
8,"HI",408.00,0.00
8,"IA",3779.00,1114496.00
8,"ID",1990.00,750859.00
8,"IL",12623.00,4485913.00
8,"IN",6369.00,3389384.00
8,"KS",2831.00,1236535.00
8,"KY",7027.00,2054677.00
8,"LA",6305.00,2254911.00
8,"MA",11916.00,2893729.00
8,"MD",5744.00,2863533.00
8,"ME",1137.00,655159.00
8,"MI",8480.00,5116012.00
8,"MN",5633.00,2720650.00
8,"MO",4208.00,2543042.00
8,"MS",3574.00,1156738.00
8,"MT",1196.00,562355.00
8,"NC",14942.00,5598991.00
8,"ND",532.00,467717.00
8,"NE",1969.00,914272.00
8,"NH",2005.00,81382.00
8,"NJ",22593.00,4299614.00
8,"NM",2413.00,1521368.00
8,"NV",2817.00,1326580.00
8,"NY",23949.00,9111591.00
8,"OH",13848.00,5243601.00
8,"OK",3231.00,2348851.00
8,"OR",2604.00,2092476.00
8,"PA",18106.00,4981231.00
8,"RI",2569.00,454653.00
8,"SC",10032.00,2070177.00
8,"SD",1128.00,574506.00
8,"TN",8930.00,2708614.00
8,"TX",56592.00,0.00
8,"UT",4736.00,1114836.00
8,"VA",11935.00,4054875.00
8,"VT",675.00,324384.00
8,"WA",6013.00,3333213.00
8,"WI",5097.00,2866246.00
8,"WV",2216.00,1259071.00
8,"WY",667.00,315612.00
9,"AK",876.00,759035.00
9,"AL",3812.00,2482147.00
9,"AR",5458.00,1738626.00
9,"AZ",9412.00,4241331.00
9,"CA",21030.00,21016714.00
9,"CO",8300.00,3553156.00
9,"CT",5384.00,1734531.00
9,"DC",795.00,313178.00
9,"DE",1619.00,573039.00
9,"FL",36416.00,12181531.00
9,"GA",17591.00,5542498.00
9,"HI",355.00,0.00
9,"IA",3251.00,1464545.00
9,"ID",1791.00,999390.00
9,"IL",11820.00,6390396.00
9,"IN",5665.00,4307860.00
9,"KS",2198.00,1590833.00
9,"KY",5182.00,2650446.00
9,"LA",4453.00,2775896.00
9,"MA",10251.00,3947008.00
9,"MD",5220.00,3810502.00
9,"ME",1158.00,800261.00
9,"MI",10863.00,6267262.00
9,"MN",5326.00,3524154.00
9,"MO",3900.00,3260406.00
9,"MS",2655.00,1653679.00
9,"MT",1005.00,728009.00
9,"NC",12088.00,6743866.00
9,"ND",582.00,578070.00
9,"NE",1933.00,1211309.00
9,"NH",1529.00,95225.00
9,"NJ",23123.00,5514939.00
9,"NM",1854.00,1879147.00
9,"NV",2472.00,1748519.00
9,"NY",23663.00,11116413.00
9,"OH",11582.00,6863643.00
9,"OK",2517.00,3071246.00
9,"OR",1764.00,2668793.00
9,"PA",17288.00,6559701.00
9,"RI",2327.00,571558.00
9,"SC",7596.00,2766966.00
9,"SD",1085.00,702385.00
9,"TN",6976.00,3476586.00
9,"TX",43656.00,0.00
9,"UT",3668.00,1371575.00
9,"VA",9650.00,5488468.00
9,"VT",830.00,396415.00
9,"WA",4843.00,4678977.00
9,"WI",4391.00,3873265.00
9,"WV",1710.00,1489113.00
9,"WY",414.00,402590.00
10,"AK",922.00,882150.00
10,"AL",3081.00,3133995.00
10,"AR",2160.00,2033753.00
10,"AZ",6975.00,5471337.00
10,"CA",18418.00,24939195.00
10,"CO",6991.00,4375415.00
10,"CT",5247.00,2372675.00
10,"DC",1159.00,393278.00
10,"DE",1363.00,747860.00
10,"FL",31603.00,14541416.00
10,"GA",11189.00,6555691.00
10,"HI",444.00,0.00
10,"IA",3237.00,2314867.00
10,"ID",2305.00,1284774.00
10,"IL",10580.00,8588126.00
10,"IN",5434.00,5263152.00
10,"KS",1887.00,1973677.00
10,"KY",4576.00,3247728.00
10,"LA",3437.00,3352476.00
10,"MA",10685.00,5267758.00
10,"MD",6122.00,4735104.00
10,"ME",1233.00,1089266.00
10,"MI",15070.00,7297237.00
10,"MN",6388.00,4430394.00
10,"MO",4137.00,4001820.00
10,"MS",2809.00,2056151.00
10,"MT",884.00,933972.00
10,"NC",10891.00,7856562.00
10,"ND",585.00,674035.00
10,"NE",1811.00,1548016.00
10,"NH",1624.00,110403.00
10,"NJ",24625.00,6766808.00
10,"NM",1425.00,2209867.00
10,"NV",3105.00,2170058.00
10,"NY",22384.00,13407277.00
10,"OH",10562.00,8566361.00
10,"OK",2484.00,3499072.00
10,"OR",2313.00,3150468.00
10,"PA",17311.00,8209636.00
10,"RI",2353.00,692000.00
10,"SC",6327.00,3692404.00
10,"SD",1115.00,836993.00
10,"TN",7671.00,4216713.00
10,"TX",31890.00,0.00
10,"UT",3545.00,1683573.00
10,"VA",9035.00,6706622.00
10,"VT",707.00,476608.00
10,"WA",4841.00,5841611.00
10,"WI",3768.00,4690662.00
10,"WV",1859.00,1667713.00
10,"WY",399.00,497334.00
11,"AK",883.00,1003923.00
11,"AL",2901.00,3731333.00
11,"AR",1734.00,2282316.00
11,"AZ",3671.00,6687240.00
11,"CA",16001.00,30758907.00
11,"CO",7075.00,5318571.00
11,"CT",6114.00,3742633.00
11,"DC",743.00,489524.00
11,"DE",1585.00,871036.00
11,"FL",30584.00,18179891.00
11,"GA",11167.00,7500334.00
11,"HI",545.00,0.00
11,"IA",2895.00,3095270.00
11,"ID",2184.00,1547265.00
11,"IL",12585.00,11139886.00
11,"IN",5404.00,6186595.00
11,"KS",1762.00,2432310.00
11,"KY",4111.00,3947998.00
11,"LA",3255.00,3981033.00
11,"MA",12241.00,6632894.00
11,"MD",6582.00,5520468.00
11,"ME",1439.00,1362206.00
11,"MI",22625.00,8611995.00
11,"MN",7878.00,5381720.00
11,"MO",3553.00,4758134.00
11,"MS",1975.00,2393392.00
11,"MT",1240.00,1122264.00
11,"NC",11493.00,9738070.00
11,"ND",675.00,817701.00
11,"NE",1782.00,1889375.00
11,"NH",1997.00,137012.00
11,"NJ",27933.00,8139813.00
11,"NM",1393.00,2643056.00
11,"NV",1886.00,2616763.00
11,"NY",23637.00,16092308.00
11,"OH",10521.00,10384302.00
11,"OK",1840.00,3873324.00
11,"OR",1928.00,3703578.00
11,"PA",20219.00,10650030.00
11,"RI",2353.00,891875.00
11,"SC",7101.00,4261982.00
11,"SD",1230.00,1015439.00
11,"TN",8324.00,4900642.00
11,"TX",27424.00,0.00
11,"UT",3271.00,1960295.00
11,"VA",10169.00,7885041.00
11,"VT",838.00,574816.00
11,"WA",5386.00,6989345.00
11,"WI",3924.00,5607938.00
11,"WV",2329.00,1877809.00
11,"WY",418.00,578524.00
12,"AK",1072.00,1103878.00
12,"AL",2600.00,4206511.00
12,"AR",1313.00,2569424.00
12,"AZ",3569.00,7632333.00
12,"CA",15516.00,38327835.00
12,"CO",7769.00,6360652.00
12,"CT",8519.00,4377239.00
12,"DC",876.00,561943.00
12,"DE",1762.00,966029.00
12,"FL",33953.00,20876207.00
12,"GA",10296.00,8399523.00
12,"HI",663.00,0.00
12,"IA",3788.00,3707750.00
12,"ID",2008.00,1814182.00
12,"IL",15146.00,12927836.00
12,"IN",6083.00,7044085.00
12,"KS",1923.00,2920042.00
12,"KY",3817.00,4602766.00
12,"LA",3332.00,4567221.00
12,"MA",14699.00,7825600.00
12,"MD",8021.00,6251372.00
12,"ME",1189.00,1582892.00
12,"MI",37364.00,10153255.00
12,"MN",9560.00,6294772.00
12,"MO",3661.00,5522155.00
12,"MS",1629.00,2728423.00
12,"MT",1131.00,1262312.00
12,"NC",12215.00,11072687.00
12,"ND",932.00,936566.00
12,"NE",1872.00,2151157.00
12,"NH",2429.00,152041.00
12,"NJ",29495.00,9524918.00
12,"NM",1327.00,3096682.00
12,"NV",1967.00,3014220.00
12,"NY",25769.00,19066625.00
12,"OH",11784.00,11980954.00
12,"OK",1722.00,4403725.00
12,"OR",2382.00,4289720.00
12,"PA",25039.00,12654601.00
12,"RI",2844.00,1262356.00
12,"SC",6618.00,4794145.00
12,"SD",1358.00,1205112.00
12,"TN",8264.00,5694111.00
12,"TX",25486.00,0.00
12,"UT",2919.00,2265671.00
12,"VA",10463.00,8867064.00
12,"VT",990.00,675986.00
12,"WA",6203.00,8105179.00
12,"WI",4694.00,6645981.00
12,"WV",2838.00,2099323.00
12,"WY",465.00,644155.00
13,"AK",1232.00,1208903.00
13,"AL",2470.00,4704861.00
13,"AR",1110.00,3003777.00
13,"AZ",4504.00,8780577.00
13,"CA",15222.00,45654555.00
13,"CO",9304.00,7146305.00
13,"CT",8746.00,5139244.00
13,"DC",881.00,699787.00
13,"DE",2317.00,1127156.00
13,"FL",36879.00,24067743.00
13,"GA",9250.00,9229192.00
13,"HI",820.00,0.00
13,"IA",3696.00,4324914.00
13,"ID",1753.00,2078388.00
13,"IL",18607.00,14750026.00
13,"IN",7022.00,8040723.00
13,"KS",1440.00,3505117.00
13,"KY",3575.00,5547086.00
13,"LA",2400.00,5388917.00
13,"MA",15676.00,9216345.00
13,"MD",9285.00,7365635.00
13,"ME",2112.00,1884478.00
13,"MI",43328.00,12038927.00
13,"MN",12434.00,7506096.00
13,"MO",3645.00,6633465.00
13,"MS",1442.00,3222820.00
13,"MT",940.00,1458883.00
13,"NC",11499.00,12741996.00
13,"ND",1055.00,1106960.00
13,"NE",3694.00,2538380.00
13,"NH",2703.00,236185.00
13,"NJ",31253.00,11583007.00
13,"NM",1265.00,3547090.00
13,"NV",1998.00,3488187.00
13,"NY",28082.00,24142346.00
13,"OH",13408.00,13962160.00
13,"OK",1604.00,5179938.00
13,"OR",2778.00,4976028.00
13,"PA",29195.00,15166950.00
13,"RI",2838.00,1569755.00
13,"SC",6157.00,5521052.00
13,"SD",1280.00,1408144.00
13,"TN",7563.00,6806693.00
13,"TX",23145.00,0.00
13,"UT",2824.00,2619411.00
13,"VA",9781.00,10306894.00
13,"VT",1262.00,809951.00
13,"WA",7350.00,9685189.00
13,"WI",4927.00,7769794.00
13,"WV",2790.00,2426448.00
13,"WY",401.00,739059.00
14,"AK",1194.00,1341087.00
